player,hof_flag,final_mvp,all_stargame,championship_ring,league_mvp,assist,blocks,box_plus_minus,points,steals,total_rebounds,value_of_replacement,win_shares
Tyrone Hill,N,N,Y,N,N,723.00,420.00,-26.60,8160.00,694.00,7524.00,0.30,60.00
Tyrone Nesby,N,N,N,N,N,435.00,109.00,-6.00,2835.00,305.00,1072.00,0.30,8.00
Tyronn Lue,N,N,N,N,N,548.00,9.00,-9.30,1649.00,98.00,323.00,-0.30,6.00
Tyrus Thomas,N,N,N,N,N,402.00,610.00,-13.10,3597.00,391.00,2273.00,0.30,15.00
Tyshawn Taylor,N,N,N,N,N,36.00,1.00,-9.70,89.00,12.00,15.00,-0.50,-1.00
Tyson Chandler,N,N,Y,N,N,794.00,1141.00,21.80,8353.00,542.00,9063.00,1.90,93.00
Tyus Edney,N,N,N,N,N,717.00,5.00,-6.30,1345.00,149.00,314.00,-0.40,5.00
Tyus Jones,N,N,N,N,N,108.00,3.00,-3.70,156.00,31.00,47.00,-0.30,0.00
Udonis Haslem,N,N,N,Y,N,626.00,230.00,-34.20,5721.00,371.00,5067.00,0.00,44.00
Uros Slokar,N,N,N,N,N,1.00,2.00,-7.00,38.00,1.00,14.00,-0.10,0.00
Uwe Blab,N,N,N,N,N,126.00,107.00,-30.00,588.00,20.00,512.00,-0.30,0.00
Vassilis Spanoulis,N,N,N,N,N,28.00,1.00,-6.70,85.00,7.00,22.00,-0.30,0.00
Vern Fleming,N,N,N,N,N,4293.00,105.00,-1.60,10125.00,926.00,3012.00,1.20,52.00
Vernon Maxwell,N,N,N,N,N,3026.00,143.00,-25.80,10577.00,960.00,2232.00,0.30,30.00
Vester Marshall,N,N,N,N,N,4.00,3.00,-7.90,17.00,4.00,37.00,-0.30,0.00
Viacheslav Kravtsov,N,N,N,N,N,9.00,9.00,-0.90,77.00,5.00,45.00,0.10,0.00
Victor Alexander,N,N,N,N,N,251.00,176.00,-10.20,2502.00,135.00,1355.00,-0.20,9.00
Victor Claver,N,N,N,N,N,43.00,12.00,-3.30,187.00,26.00,119.00,-0.30,0.00
Victor Oladipo,N,N,Y,N,N,785.00,112.00,-0.30,3326.00,323.00,965.00,1.20,10.00
Viktor Khryapa,N,N,N,N,N,113.00,47.00,-4.30,538.00,70.00,415.00,0.10,2.00
Vin Baker,N,N,Y,N,N,1417.00,716.00,-29.50,11271.00,549.00,5544.00,0.70,45.00
Vince Carter,N,N,Y,N,N,4983.00,878.00,55.80,27463.00,1597.00,6816.00,2.70,136.00
Vincent Askew,N,N,N,N,N,1211.00,130.00,-11.60,3895.00,357.00,1413.00,0.40,26.00
Vincent Yarbrough,N,N,N,N,N,130.00,33.00,-2.40,406.00,57.00,162.00,-0.10,1.00
Vinnie Johnson,N,N,N,N,N,3383.00,278.00,1.60,12369.00,908.00,3268.00,1.10,53.00
Vinny Del,N,N,N,N,N,2386.00,68.00,-14.00,6864.00,560.00,1754.00,0.50,41.00
Vitaly Potapenko,N,N,N,N,N,484.00,242.00,-39.70,4377.00,286.00,2977.00,-0.40,17.00
Vitor Faverani,N,N,N,N,N,16.00,27.00,-3.10,164.00,14.00,128.00,-0.10,0.00
Vlade Divac,N,N,Y,N,N,3522.00,1630.00,47.60,13364.00,1284.00,9294.00,3.00,96.00
Vladimir Radmanovic,N,N,N,N,N,1040.00,234.00,-6.10,6321.00,533.00,2865.00,0.60,28.00
Vladimir Stepania,N,N,N,N,N,71.00,129.00,-26.70,1010.00,99.00,1055.00,-0.40,4.00
Von Wafer,N,N,N,N,N,112.00,15.00,-32.70,877.00,54.00,187.00,-0.20,2.00
Vonteego Cummings,N,N,N,N,N,534.00,32.00,-9.30,1381.00,176.00,373.00,-0.30,2.00
Voshon Lenard,N,N,N,N,N,1061.00,118.00,-11.20,6179.00,395.00,1469.00,0.60,27.00
Wade Baldwin,N,N,N,N,N,61.00,7.00,-5.80,106.00,18.00,46.00,-0.40,0.00
Walker Russell,N,N,N,N,N,384.00,11.00,-23.60,507.00,71.00,194.00,-0.60,-1.00
Wallace Bryant,N,N,N,N,N,84.00,24.00,-0.10,164.00,21.00,241.00,0.40,1.00
Wally Rank,N,N,N,N,N,17.00,1.00,-7.30,55.00,7.00,30.00,-0.20,0.00
Wally Szczerbiak,N,N,Y,N,N,1816.00,190.00,-2.40,11137.00,439.00,3044.00,1.10,63.00
Wally Walker,N,N,N,N,N,791.00,91.00,-18.80,3688.00,207.00,1614.00,-0.10,11.00
Walt Bellamy,Y,N,Y,N,N,189.00,48.00,0.30,1011.00,52.00,740.00,1.40,5.00
Walt Frazier,Y,N,Y,N,N,2020.00,62.00,16.20,6721.00,679.00,1923.00,3.50,39.00
Walt Hazzard,N,N,Y,N,N,122.00,6.00,-3.20,186.00,26.00,57.00,-0.20,1.00
Walt Wesley,N,N,N,N,N,37.00,30.00,-11.50,356.00,23.00,254.00,-0.10,1.00
Walt Williams,N,N,N,N,N,1989.00,499.00,7.60,9988.00,802.00,3313.00,1.00,41.00
Walter Berry,N,N,N,N,N,396.00,191.00,-8.90,3870.00,158.00,1273.00,0.20,10.00
Walter Bond,N,N,N,N,N,194.00,38.00,-6.60,970.00,102.00,316.00,-0.20,1.00
Walter Davis,N,N,Y,N,N,3780.00,133.00,3.20,19176.00,1262.00,3018.00,1.40,76.00
Walter Herrmann,N,N,N,N,N,66.00,12.00,-8.00,819.00,31.00,319.00,0.00,4.00
Walter Jordan,N,N,N,N,N,11.00,5.00,-4.50,68.00,11.00,42.00,-0.10,0.00
Walter McCarty,N,N,N,N,N,623.00,153.00,-13.70,2806.00,355.00,1402.00,0.30,14.00
Walter Palmer,N,N,N,N,N,6.00,4.00,-7.30,40.00,3.00,21.00,-0.10,0.00
Wang Zhizhi,N,N,N,N,N,12.00,15.00,-13.50,229.00,11.00,95.00,-0.30,0.00
Wardell Jackson,N,N,N,N,N,30.00,5.00,-5.40,243.00,26.00,133.00,-0.80,0.00
Warren Kidd,N,N,N,N,N,19.00,23.00,-4.00,247.00,19.00,233.00,-0.40,1.00
Wayman Tisdale,N,N,N,N,N,1097.00,505.00,-30.60,12996.00,467.00,5226.00,0.10,47.00
Wayne Cooper,N,N,N,N,N,670.00,1088.00,-20.00,6074.00,230.00,4667.00,0.10,28.00
Wayne Ellington,N,N,N,N,N,603.00,34.00,-20.80,4120.00,264.00,1163.00,-0.20,12.00
Wayne Kreklow,N,N,N,N,N,9.00,1.00,-13.00,30.00,2.00,12.00,-0.30,0.00
Wayne Radford,N,N,N,N,N,57.00,1.00,-2.90,202.00,30.00,68.00,-0.20,1.00
Wayne Robinson,N,N,N,N,N,112.00,24.00,-2.80,643.00,46.00,294.00,-0.30,2.00
Wayne Sappleton,N,N,N,N,N,7.00,4.00,-6.80,96.00,7.00,75.00,-0.40,0.00
Wayne Selden,N,N,N,N,N,13.00,1.00,-5.00,71.00,6.00,16.00,-0.20,0.00
Wayne Simien,N,N,N,N,N,7.00,1.00,-4.50,146.00,13.00,88.00,-0.30,1.00
Wes Matthews,N,N,N,N,N,2224.00,90.00,-32.40,4175.00,516.00,721.00,-0.20,13.00
Wes Unseld,Y,Y,Y,N,Y,2400.00,367.00,33.50,5141.00,628.00,7059.00,4.10,59.00
Wesley Cox,N,N,N,N,N,23.00,15.00,-14.10,342.00,34.00,206.00,-0.60,0.00
Wesley Johnson,N,N,N,N,N,504.00,280.00,-4.00,3119.00,327.00,1332.00,0.60,8.00
Wesley Matthews,N,N,N,N,N,1272.00,114.00,10.30,8257.00,660.00,1872.00,2.00,43.00
Wesley Person,N,N,N,N,N,1328.00,243.00,-13.60,8732.00,611.00,2580.00,0.90,47.00
